Property Type,Building Size,Address,Property Price,Property Description,Ant Tabs Content,City,Crime_Rate_Percentage,Currency,Bedrooms,Bathrooms,Published On Formatted,Published Date,Last Updated On Formatted,Last Updated Date
House,1496.18,"10 Pearcey Crescent, Barrie, Ontario L4N6R8",2259.0,"2-Storey Townhome In Barrie's Northwest End. Minutes To Parks, Schools, Georgian Mall, Restaurants And More! This 3 Bed, 2.5 Bath Home Features Loads Of Upgrades, Gorgeous Hardwood Floors Throughout The Main, Open-Concept Living And A Newly Renovated Kitchen Complete With Quartz Countertops, Trendy Backsplash And All-New S/S Appliances With Double Oven. Upstairs, You'll Find A Spacious Primary Bed With Ensuite, 2 Additional Beds And 4-Piece Bath.","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
3 bedroom(s), 3 bathroom(s)
Address
10 Pearcey Crescent, Barrie, Ontario L4N6R8",barrie,48.54,USD,3,3,10/05/2025,2025-05-10,10/05/2025,2025-05-10
Apartment,699.65,"10 - 82 Welland Avenue, St. Catharines, Ontario L2R2N1",1345.0,"2 Bedroom, 1 Bathroom Unit for Lease In St Catharines. Bright Open Windows, Carpet Free. Water Included in Lease Price. Tenant Incentive: 6 MONTHS FREE PARKING and 1 Month Free Rent. Available Immediately.","Basic Info
Property Type
Apartment
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
10 - 82 Welland Avenue, St. Catharines, Ontario L2R2N1",st. catharines,60.39,USD,2,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,699.65,"Basemen - 47 Beland Avenue S, Hamilton, Ontario L8H1B9",1327.0,HOMELY COZY 2 BEDROOM BASEMENT SUITE WITH PRIVATE ENTRANCE & ENSUITE LAUNDRY AND PARKING. OPEN CONCEPT KITCHEN WITH GRANITE COUNTERTOP & S/S APPLIANCES. BUILT-IN ELECTRIC FIREPLACE & BROADLOOM COMMON AREA. GREAT FOR A YOUNG COUPLE OR YOUNG FAMILY. UTILITIES NOT INCLUDED,"Basic Info
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
Basemen - 47 Beland Avenue S, Hamilton, Ontario L8H1B9",hamilton,59.13,USD,2,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,4994.45,"Room 1 - 35 Glenborough Park Crescent, Toronto, Ontario M2R2G4",1183.0,"Brand New Furnished Private Room for Lease. Spacious and bright private room with private washroom and walk-in closet. Fully furnished and all-inclusive (utilities, internet, etc.). Located on a quiet, safe street with easy transit access . just one bus to Finch Subway Station and York University. Super clean and move-in ready. Looking for AAA+ tenant only. Please contact the listing agent before booking any showings.","Basic Info
Property Type
House
Building Size
4,994.45 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
Room 1 - 35 Glenborough Park Crescent, Toronto, Ontario M2R2G4",toronto,60.39,USD,1,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,796.53,"#54 - 19 Eldora Avenue, Toronto, Ontario M2M0B5",1972.0,"Welcome Home To Hendon Park Towns By Wycliffe At Yonge/Finch! This charming townhouse features 2 Bedrooms and 2 Baths With Over 800 Sq Ft Of Spacious Modern Open Concept Space, 9' Ceilings, Floor To Ceiling Windows, Hardwood Floors, Granite Counter Tops, Deep Under Mount Kitchen Sink And Walk Out To Two Open Balconies. This gorgeous townhouse nestled inside a residential neighbourhood, is in an amazingly convenient location to everything! Just steps To The Ttc, Go, Viva, Hendon Park, Yonge Street Shopping And Restaurants! Pictures are a mixture of furnished and unfurnished. No Pets. No Smoking/Vaping/Cannabis.","Basic Info
Outdoor Feature
Property Type
House
Building Size
796.53 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
#54 - 19 Eldora Avenue, Toronto, Ontario M2M0B5",toronto,60.39,USD,2,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1496.18,"64 Cathedral High Street, Markham, Ontario L6C0P3",2295.0,"Luxury 3 Bedrooms & 3 Washroom Townhouse In The Heart Of Cathedraltown, 9 Ft Ceiling, Hard Wood Floor , Modern Kitchen With Island, Open Concept Kitchen & W/O To Large Terrace, Breakfast Area Opens To Spacious Great Room With Gas Fireplace. Close To High Ranking Schools & Park, Costco, Home Depot, T&T Supermarket, 2 Mitnues To Hwy 404.","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
3 bedroom(s), 3 bathroom(s)
Address
64 Cathedral High Street, Markham, Ontario L6C0P3",markham,76.06,USD,3,3,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,796.53,"648 - 2501 Saw Whet Boulevard S, Oakville, Ontario L6M5N2",1861.0,"Welcome to luxury living in one of Oakvilles most prestigious, premium, and sought-after neighbourhoods South Oakville! Discover The Saw Whet Condos, where this brand new, never-lived-in 2-bedroom, 2 full washroom suite by the renowned Caivan Homes offers a total of 855 sq ft, including 759 sq ft of interior living space and a 96 sq ft open balcony with unobstructed views. This sophisticated unit features top-of-the-line stainless steel appliances, high and smooth ceilings, and thoughtfully designed interiors. Includes 1 underground parking space and a locker for added convenience. Enjoy a wide range of upscale amenities including a state-of-the-art gym, entertainment lounge, yoga/fitness studio, pet wash station, co-working spaces with high-speed internet, and an exclusive-use rooftop patioperfect for summer entertaining or peaceful retreat. 1.5 GB high-speed internet is included. Ideally located just minutes from Highway 403, QEW, GO Transit, and next to Bronte Creek Provincial Park and Oakvilles scenic lakeshore parks. The landlord will also be installing custom blinds for added privacy. Perfect for young couples, small families, or professionals commuting downtown, this unit offers the perfect blend of luxury, comfort, and convenience. Live where elegance meets easeThe Saw Whet is the lifestyle youve been waiting for.","Basic Info
Outdoor Feature
Property Type
House
Building Size
796.53 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
648 - 2501 Saw Whet Boulevard S, Oakville, Ontario L6M5N2",oakville,71.94,USD,2,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,699.65,"Lower - 87 Fontainbleau Drive, Toronto, Ontario M2M1P1",1506.0,"Fantastic Yonge & Settles location, Renovated 2 bedroom basement apartment, updated kitchen with island, granite countertops and backsplash. Ground level with separate entrance, laminate floors. throughout and separate in-suite laundry. one bus to Finch stations, steps to Yonge/Steeles, TTC and amenities.","Basic Info
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
Lower - 87 Fontainbleau Drive, Toronto, Ontario M2M1P1",toronto,60.39,USD,2,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1097.92,"2 DUNDAS Street, Belleville, Ontario K8P1A1",1972.0,"Welcome to Harbour View apartments! This new building directly overlooks the Belleville Harbour and beautiful Bay of Quinte. Located across from the Moira River and walking distance to the downtown core, this is Luxury Living at its finest! Come home to a unique blend of luxury and comfort with features and finishes that are both stylish and practical. Boasting 9 foot ceilings, refined natural details with a strong focus on both functionality and flair. This executive 2 bedroom suite features a welcoming gourmet kitchen with high-end appliances leading into a generously-sized family room that walks out to your own balcony. Expansive windows allow for a cascade of natural light while the smartly designed open concept floor plan provides you with abundant living space. Feel the rewards of living care-free in a sophisticated well-crafted upscale building that caters to the luxury lifestyle you've always dreamed of, in an area rich with conveniences. Building includes a party room that features a full kitchen, entertaining area and a library / reading area. The main floor commercial area will be home to a walk-in clinic, a physiotherapist and a pharmacy. Only a 20 minute drive from the heart of Prince Edward County, an island in Lake Ontario full of great food, stunning nature and home to several award winning wine makers. (id:57238)","Basic Info
Property Type
House
Building Size
1,097.92 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
2 DUNDAS Street, Belleville, Ontario K8P1A1",belleville,70.03,USD,2,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,4994.45,"Room 2 - 35 Glenborough Park Crescent, Toronto, Ontario M2R2G4",1255.0,"Brand New Furnished Private Room for Lease. Spacious and bright private room with private washroom and closet. Fully furnished and all-inclusive (utilities, internet, etc.). Located on a quiet, safe street with easy transit access . just one bus to Finch Subway Station and York University. Super clean and move-in ready. Looking for AAA+ tenant only. Please contact the listing agent before booking any showings.","Basic Info
Property Type
House
Building Size
4,994.45 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
Room 2 - 35 Glenborough Park Crescent, Toronto, Ontario M2R2G4",toronto,60.39,USD,1,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1991.32,"771 Dack Boulevard, Mississauga, Ontario L5H1E5",5021.0,"Experience Luxury Living In This Stunningly Fully Furnished Bungalow In Sought After Lorne Park. This Turn-Key Home Is Sitting On A Fantastic 80 X 150 Ft Mature Lot. Features 3 Spacious Bedrooms, 3.5 Baths, The Primary Bedroom Features A Gorgeous And Luxurious Four-Piece Bathroom! Main Floor With Hardwood Through-Out, Custom Kitchen W High-End Appliances, Feature Lighting & More! No Detail Has Been Overlooked. Steps Away From Waterfront Trails, Richard's Memorial Park.","Basic Info
Property Type
House
Building Size
1,991.32 sq ft
Rooms
4 bedroom(s), 4 bathroom(s)
Address
771 Dack Boulevard, Mississauga, Ontario L5H1E5",mississauga,93.29,USD,4,4,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,699.65,"6 - 125 Kendal Ave Avenue, Toronto, Ontario M5R1L8",2145.0,"Be the first to live in this bright, modern 2-bedroom, 2-bathroom unit in the heart of The Annex! Featuring high ceilings, pot lights, brand new appliances, ensuite laundry, private climate control with a high-efficiency heat pump, and internet included. Just a 5-minute walk to the subway and steps from Bloors top shops and restaurants. Street parking available, sub-metered utilities, non-smokers only.","Basic Info
Property Type
House
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
6 - 125 Kendal Ave Avenue, Toronto, Ontario M5R1L8",toronto,60.39,USD,2,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1496.18,"15 Bowery Road, Brantford, Ontario N3V0A9",1793.0,"Welcome to 15 Bowery Road, a modern and beautifully maintained townhome nestled in Brantford's desirable Northwest Industrial Park. This stylish property offers a perfect blend of comfort and convenience with an open-concept layout, contemporary finishes, and spacious living areas ideal for families, professionals, or investors. The home features a bright kitchen with stainless steel appliances, a generous primary bedroom with ensuite bath, and a private backyard space perfect for outdoor relaxation. Located just minutes from Hwy 403, schools, parks, and major amenities, this home offers exceptional value in a growing community. A must-see opportunity in one of Brantfords fastest-developing neighbourhoods!","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
4 bedroom(s), 3 bathroom(s)
Address
15 Bowery Road, Brantford, Ontario N3V0A9",brantford,80.13,USD,4,3,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,893.4,"2911 - 381 Front Street, Toronto, Ontario M5V3R8",2507.0,"Welcome Home! S-P-R-E-A-D O-U-T In This Bright, Sw Facing Open Corner 2+1 Unit With Lake View At 381 Front St W! Tons Of Upgrades Including Kitchen Cabinets, Backsplash, Stainless Appliances, Bath Tiles, Bathroom Backsplash, Light Fixtures. Den Is Large Enough To Be An Office, Nursery, or 3rd Bdrm & Has A Door. Water Views From The Living Rm & Primary Rm! Just Move Right In! Stainless Fridge, Stove, Dishwasher, Microwave.Convenient 1st Flr Parking Near Elevator! Gymnasium W/ B-Ball, Gym, Indoor Pool, Spa, Party/Meeting Room All In Your Building. No Hold On Offers! Agent Welcomes Client Inquiries.","Basic Info
Outdoor Feature
Property Type
House
Building Size
893.40 sq ft
Rooms
3 bedroom(s), 2 bathroom(s)
Address
2911 - 381 Front Street, Toronto, Ontario M5V3R8",toronto,60.39,USD,3,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,592.02,"622 - 90 Glen Everest Road, Toronto, Ontario M1N1T7",1542.0,"Sunny, South Facing, Lake Views & Great Location. An Amazing & Beautiful 1Bed plus den like 2 bedroom and 2 full washroom, Merge Condos By The Bluffs (Only one yr old). Spacious Layout. Floor To Ceiling Windows. Very Bright Unit With Laminate Flooring Throughout. High-End Finishes And Modern Kitchen W/Integrated Appliances & Backsplash. Steps to TTC & Close To Go Train, Hospital, Shopping Plaza, Restaurants And Many Other Amenities. Close To Beaches. Rent Incl. 1 Under ground Parking.","Basic Info
Property Type
House
Building Size
592.02 sq ft
Rooms
2 bedroom(s), 2 bathroom(s)
Address
622 - 90 Glen Everest Road, Toronto, Ontario M1N1T7",toronto,60.39,USD,2,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
Apartment,699.65,"3 - 17 South Kingsway Road, Toronto, Ontario M6S3T2",1775.0,"Experience the best of city living in this bright and spacious 2-bedroom apartment, located in the highly sought-after and safe Swansea neighbourhood, right next to High Park. This beautiful unit features a private entrance, is carpet-free throughout, and offers full-size windows that fill the space with natural light. Enjoy the convenience of being just steps away from Lake Ontario, the Humber River trails, and the vibrant Bloor West Village, known for its cafes, restaurants, shops, and gyms. Excellent transit options with a TTC bus stop nearby, close proximity to the subway, and just a 10-minute drive to downtown Toronto. The unit includes a modern kitchen, combined living and dining area, 1 parking space, shared coin laundry, and access to a BBQ area in the shared backyard. All utilities included except hydro. Photos were taken before current tenant moved in. Measurements to be verified by the tenant or the tenant's agent","Basic Info
Property Type
Apartment
Building Size
699.65 sq ft
Rooms
2 bedroom(s), 1 bathroom(s)
Address
3 - 17 South Kingsway Road, Toronto, Ontario M6S3T2",toronto,60.39,USD,2,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,4994.45,"Room 3 - 35 Glenborough Park Crescent, Toronto, Ontario M2R2G4",897.0,"Brand New Furnished Private Room for Lease. Spacious and Bright Private room with private washroom and closet. Heated floor basement, Fully furnished and all-inclusive (utilities, internet, etc.). Located on a quiet, safe street with easy transit access . just one bus to Finch Subway Station and York University. Super clean and move-in ready. Looking for AAA+ tenant only. Please contact the listing agent before booking any showings.","Basic Info
Property Type
House
Building Size
4,994.45 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
Room 3 - 35 Glenborough Park Crescent, Toronto, Ontario M2R2G4",toronto,60.39,USD,1,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,699.65,"BSMT - 268 Maplehurst Avenue, Toronto, Ontario M2N3C4",1076.0,"Vacant and move in ready for immediate occupancy, this well-located 1-bedroom basement apartment sits in the heart of prime Willowdale, just off Sheppard Avenue between Bayview and Yonge. Enjoy unparalleled convenience just minutes to Highway 401, TTC transit, GO Train station, shopping, grocery stores, and all essential amenities. This self-contained unit offers a smart, functional layout featuring a private entrance, full kitchen, walk-in closet, large shower with upgraded glass doors, ensuite laundry, and shared use of the backyard. Ideal for students or young professionals seeking easy access to transit and daily essentials. Parking is available for a small additional cost. Utilities are split 50% with the single upstairs tenant. Please note: current photos do not reflect the unit's full potential shows much better in person.","Basic Info
Property Type
House
Building Size
699.65 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
BSMT - 268 Maplehurst Avenue, Toronto, Ontario M2N3C4",toronto,60.39,USD,1,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
Apartment,516.67,"319 Carlaw Avenue, Toronto, Ontario M4M0A4",1506.0,"Welcome to Worklofts! Experience the best of Leslieville living in this sun-filled, boutique loft at the corner of Carlaw & Dundas. This west-facing unit offers breathtaking views of the CN Tower and skyline equally captivating by day and stunning at night. Featuring 9-ft exposed concrete ceilings, floor-to-ceiling windows, and hardwood floors throughout, this modern loft seamlessly blends industrial character with sleek sophistication. The open-concept kitchen is complete with quartz countertops, stainless steel appliances, and a gas range. Enjoy the private rooftop garden with BBQ area, party room, and on-site business centre. Steps to local cafs, restaurants, boutique shops, and transit.","Basic Info
Property Type
Apartment
Building Size
516.67 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
319 Carlaw Avenue, Toronto, Ontario M4M0A4",toronto,60.39,USD,1,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1496.18,"34 Truffle(Basement) Court, Brampton, Ontario L7A5A6",1291.0,"Highly upgraded exquisite 1-bedroom basement in a semi located in Northwest Brampton. Close to all amenities including schools, park, stores and transit. Separate side entrance, 30% utilities to be paid by the tenant (electricity, gas, water, water heater).","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
1 bedroom(s), 1 bathroom(s)
Address
34 Truffle(Basement) Court, Brampton, Ontario L7A5A6",brampton,66.22,USD,1,1,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1496.18,"27 Steele Crescent, Guelph, Ontario N1E5L7",2295.0,"Gorgeous High-End Townhouse! The main floor boasts a stunning open-plan layout for family, dining, and kitchen areas. Enjoy high ceilings, laminate flooring throughout, a kitchen adorned with quartz countertops and stainless steel appliances. 3 generous sized rooms that are perfect for a growing or established family! The primary bedroom includes an ensuite and walk-in closet, while the second and third bedrooms have easy access to a shared washroom. Convenient laundry facilities are located on the second floor. Just minutes away from the downtown core. Available From July 1st!","Basic Info
Property Type
House
Building Size
1,496.18 sq ft
Rooms
3 bedroom(s), 3 bathroom(s)
Address
27 Steele Crescent, Guelph, Ontario N1E5L7",guelph,38.2,USD,3,3,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1991.32,"16 Sullivan Drive, Ajax, Ontario L1T3L2",2510.0,"For Lease in Top Neighbourhoods of Ajax: Bright & Immaculate 4-Bedroom Family Home. Welcome to this beautifully maintained and thoughtfully upgraded residence offering a spacious and functional layout, perfect for growing families and entertainers alike. The main floor features a sun-filled living room with modern pot lights, a cozy family room with a fireplace, and a formal dining room. The family-sized eat-in kitchen includes stainless steel appliances and a walkout from the breakfast area to a large deck ideal for gatherings and outdoor dining. Upstairs, you'll find a luxurious primary suite complete with a sitting area, walk-in closet, and a 4-piece ensuite. Three additional generously sized bedrooms offer ample space for family or guests. Close to shopping, Hwy 401 & 407, transit, parks, and walking distance to excellent schools.","Basic Info
Property Type
House
Building Size
1,991.32 sq ft
Rooms
4 bedroom(s), 3 bathroom(s)
Address
16 Sullivan Drive, Ajax, Ontario L1T3L2",ajax,65.7,USD,4,3,10/05/2025,2025-05-10,10/05/2025,2025-05-10
House,1097.92,"37 Lawrence Avenue W, Toronto, Ontario M5M1A3",3299.0,"Steps To Subway, City Market, & Great Restaurants. Excellent Reno Retained Many Original Details. Brazilian Hardwood Flrs On Main And 2nd. Leaded Glass Windows & Gum-Wood Wainscotting. Sleek Kitchen With Quartz Counters, S/Steel Appl. (Incl. Built-In Dishwasher) And Walk/Out To Backyard. Reno'd Main Bathrm Has Beautiful Over Sized Shower. Ductless A/C System, Hot Water Radiator. Heating. Legal Front Yard Parking For One Car. Large Backyard. Front Yard parking permit is required for 1 vechicle parking.","Basic Info
Property Type
House
Building Size
1,097.92 sq ft
Rooms
3 bedroom(s), 2 bathroom(s)
Address
37 Lawrence Avenue W, Toronto, Ontario M5M1A3",toronto,60.39,USD,3,2,10/05/2025,2025-05-10,10/05/2025,2025-05-10
